timestampUtc,session,playerBase,playerState,food,wood,stone,gold,populationCurrent,populationCapacity,villagerCount,militaryCount
2026-07-27T20:53:23.3465684Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
2026-07-27T20:53:23.8587649Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
2026-07-27T20:53:24.3619778Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
2026-07-27T20:53:24.8640724Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
2026-07-27T20:53:25.3649990Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
2026-07-27T20:53:25.8776720Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
2026-07-27T20:53:26.3919482Z,1,0x01292690,0x0F737D20,1200,945,1000,1000,5,3,4,1
2026-07-27T20:53:26.9050308Z,1,0x01292690,0x0F737D20,1200,825,1000,1000,5,3,4,1
2026-07-27T20:53:27.4215835Z,1,0x01292690,0x0F737D20,1200,825,1000,1000,5,3,4,1
2026-07-27T20:53:27.9369179Z,1,0x01292690,0x0F737D20,1200,825,1000,1000,5,3,4,1
2026-07-27T20:53:28.4472344Z,1,0x01292690,0x0F737D20,1200,825,1000,1000,5,3,4,1
2026-07-27T20:53:28.9589063Z,1,0x01292690,0x0F737D20,1200,825,1000,1000,5,3,4,1
2026-07-27T20:53:29.4749749Z,1,0x01292690,0x0F737D20,1200,825,1000,1000,5,3,4,1
2026-07-27T20:53:29.9900405Z,1,0x01292690,0x0F737D20,1200,825,1000,1000,5,3,4,1
2026-07-27T20:53:30.5043761Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:31.0173593Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:31.5187456Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:32.0346055Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:32.5498839Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:33.0509091Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:33.5656902Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:34.0790131Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:34.5798714Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:35.0913151Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:35.6036726Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:36.1196686Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
2026-07-27T20:53:36.6340287Z,1,0x01292690,0x0F737D20,1200,705,1000,1000,5,3,4,1
